Model,RMSE,MAE,R2,Target_Column,Time,Model_Filename
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206201254,par_20240206201254
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206201254,et_20240206201254
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206201254,Lasso_20240206201254
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206201254,svm_20240206201254
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206201254,BayesianRidge_20240206201254
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206201254,SVR_20240206201254
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206201254,KNeighborsRegressor_20240206201254
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206201254,lasso_20240206201254
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206201254,PassiveAggressiveRegressor_20240206201254
ExtraTreesRegressor,8245.282325650429,7415.305,0.866904423412689,Salary,20240206201254,ExtraTreesRegressor_20240206201254
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206201254,dt_20240206201254
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206204438,en_20240206204438
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206204438,SVR_20240206204438
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206204438,dt_20240206204438
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206204438,ElasticNet_20240206204438
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206204438,huber_20240206204438
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206204438,par_20240206204438
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206204438,KNeighborsRegressor_20240206204438
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206204438,svm_20240206204438
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206204438,lasso_20240206204438
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206204438,br_20240206204438
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206204438,BayesianRidge_20240206204438
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206204438,rf_20240206204438
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206204438,RandomForestRegressor_20240206204438
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206204438,knn_20240206204438
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206204438,ard_20240206204438
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206204438,GradientBoostingRegressor_20240206204438
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206204438,NuSVR_20240206204438
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206204438,Lasso_20240206204438
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206204438,ridge_20240206204438
SGDRegressor,7814.295176731165,6454.849877601802,0.8804547884998585,Salary,20240206204438,SGDRegressor_20240206204438
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206204438,lr_20240206204438
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206204438,DecisionTreeRegressor_20240206204438
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206204438,HuberRegressor_20240206204438
ExtraTreesRegressor,8307.570057440584,7469.031666666669,0.8648859272939315,Salary,20240206204438,ExtraTreesRegressor_20240206204438
AdaBoostRegressor,9399.30582309239,7684.472222222223,0.8270406195157944,Salary,20240206204438,AdaBoostRegressor_20240206204438
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206204438,et_20240206204438
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206204438,PassiveAggressiveRegressor_20240206204438
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206204438,ada_20240206204438
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206204438,Ridge_20240206204438
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206204438,mlp_20240206204438
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206204438,gbr_20240206204438
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206204438,ARDRegression_20240206204438
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206215112,en_20240206215112
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206215112,GradientBoostingRegressor_20240206215112
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206215112,ard_20240206215112
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206215112,svm_20240206215112
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206215112,ARDRegression_20240206215112
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206215112,ridge_20240206215112
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206215112,NuSVR_20240206215112
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206215112,rf_20240206215112
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206215112,Ridge_20240206215112
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206215112,DecisionTreeRegressor_20240206215112
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206215112,BayesianRidge_20240206215112
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206215112,mlp_20240206215112
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206215112,huber_20240206215112
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206215112,Lasso_20240206215112
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206215112,dt_20240206215112
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206215112,br_20240206215112
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206215112,et_20240206215112
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206215112,PassiveAggressiveRegressor_20240206215112
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206215112,SVR_20240206215112
ExtraTreesRegressor,8186.082125823889,7368.003333333335,0.8688087847749308,Salary,20240206215112,ExtraTreesRegressor_20240206215112
RandomForestRegressor,7436.434259806712,6582.830972222223,0.8917365041850512,Salary,20240206215112,RandomForestRegressor_20240206215112
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206215112,HuberRegressor_20240206215112
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206215112,lasso_20240206215112
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206215112,ada_20240206215112
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206215112,AdaBoostRegressor_20240206215112
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206215112,KNeighborsRegressor_20240206215112
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206215112,gbr_20240206215112
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206215112,lr_20240206215112
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206215112,par_20240206215112
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206215112,knn_20240206215112
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206215112,ElasticNet_20240206215112
SGDRegressor,7796.752633089494,6494.865984145753,0.8809909272279283,Salary,20240206215112,SGDRegressor_20240206215112
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206220628,BayesianRidge_20240206220628
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206220628,AdaBoostRegressor_20240206220628
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206220628,ada_20240206220628
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206220628,lasso_20240206220628
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206220628,PassiveAggressiveRegressor_20240206220628
SGDRegressor,7727.703535450591,6479.900414174146,0.8830895141553272,Salary,20240206220628,SGDRegressor_20240206220628
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206220628,ARDRegression_20240206220628
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206220628,br_20240206220628
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206220628,Ridge_20240206220628
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206220628,DecisionTreeRegressor_20240206220628
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206220628,HuberRegressor_20240206220628
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206220628,en_20240206220628
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206220628,par_20240206220628
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206220628,ElasticNet_20240206220628
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206220628,NuSVR_20240206220628
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206220628,ridge_20240206220628
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206220628,lr_20240206220628
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206220628,KNeighborsRegressor_20240206220628
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206220628,RandomForestRegressor_20240206220628
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206220628,svm_20240206220628
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206220628,et_20240206220628
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206220628,ard_20240206220628
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206220628,SVR_20240206220628
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206220628,huber_20240206220628
ExtraTreesRegressor,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206220628,ExtraTreesRegressor_20240206220628
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206220628,mlp_20240206220628
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206220628,dt_20240206220628
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206220628,rf_20240206220628
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206220628,Lasso_20240206220628
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206220628,gbr_20240206220628
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206220628,knn_20240206220628
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206220628,GradientBoostingRegressor_20240206220628
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206220841,BayesianRidge_20240206220841
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206220841,AdaBoostRegressor_20240206220841
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206220841,ada_20240206220841
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206220841,lasso_20240206220841
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206220841,PassiveAggressiveRegressor_20240206220841
